case,param,value,world_mode,rich_count,final_social_mean,final_social_std,mean_selection_diff_last50,mean_occupancy_var_last50,total_pop,bees_per_generation,generations_overlap,num_flowers,rich_vs_poor_ratio,crowding,mutation_rate,steps_per_gen,generations,starting_bee_ratio,repeats
RICH_VS_POOR_REWARD_RATIO,RICH_VS_POOR_REWARD_RATIO,10,stable,16,0.39299999999999996,0.24116591799008416,-23.561337832931194,9.736875,100,20,5,16,10,0.4,0.01,100,200,0.5,20
RICH_VS_POOR_REWARD_RATIO,RICH_VS_POOR_REWARD_RATIO,10,high,2,0.5895000000000001,0.27328510753423796,-50.84955035488379,207.68399999999997,100,20,5,16,10,0.4,0.01,100,200,0.5,20
RICH_VS_POOR_REWARD_RATIO,RICH_VS_POOR_REWARD_RATIO,20,stable,16,0.48900000000000005,0.2946845771329066,-24.933619774021885,14.294749999999999,100,20,5,16,20,0.4,0.01,100,200,0.5,20
RICH_VS_POOR_REWARD_RATIO,RICH_VS_POOR_REWARD_RATIO,20,high,2,0.5529999999999999,0.250061992313906,-2.774767100458101,203.09487500000003,100,20,5,16,20,0.4,0.01,100,200,0.5,20
RICH_VS_POOR_REWARD_RATIO,RICH_VS_POOR_REWARD_RATIO,50,stable,16,0.43649999999999994,0.3046354378597474,-11.814679921249137,26.70975,100,20,5,16,50,0.4,0.01,100,200,0.5,20
RICH_VS_POOR_REWARD_RATIO,RICH_VS_POOR_REWARD_RATIO,50,high,2,0.43,0.2868971941305805,-130.6900712242612,197.951,100,20,5,16,50,0.4,0.01,100,200,0.5,20
GENERATIONS_OVERLAP,GENERATIONS_OVERLAP,5,stable,16,0.36249999999999993,0.20164014977181505,-13.023474673403426,10.095375,100,20,5,16,20,0.4,0.01,100,200,0.5,20
GENERATIONS_OVERLAP,GENERATIONS_OVERLAP,5,high,2,0.4040000000000001,0.25765092664300665,-30.475389771468116,199.123875,100,20,5,16,20,0.4,0.01,100,200,0.5,20
GENERATIONS_OVERLAP,GENERATIONS_OVERLAP,10,stable,16,0.46049999999999996,0.1716821190456362,-3.262717224673862,16.1375,200,20,10,16,20,0.4,0.01,100,200,0.5,20
GENERATIONS_OVERLAP,GENERATIONS_OVERLAP,10,high,2,0.5025000000000001,0.14610355916267062,-1.9756388135020755,833.8755,200,20,10,16,20,0.4,0.01,100,200,0.5,20
GENERATIONS_OVERLAP,GENERATIONS_OVERLAP,20,stable,16,0.49424999999999997,0.09607971950417009,-0.7099983908741129,23.432,400,20,20,16,20,0.4,0.01,100,200,0.5,20
GENERATIONS_OVERLAP,GENERATIONS_OVERLAP,20,high,2,0.5101249999999999,0.10472426593201786,-0.527961908153673,3422.1373750000002,400,20,20,16,20,0.4,0.01,100,200,0.5,20
BEES_PER_GENERATION,BEES_PER_GENERATION,5,stable,16,0.20400000000000001,0.314680790643471,-248.31095170059413,5.89921875,25,5,5,16,20,0.4,0.01,100,200,0.5,20
BEES_PER_GENERATION,BEES_PER_GENERATION,5,high,2,0.556,0.43559614323361495,615.7939392552643,23.57184375,25,5,5,16,20,0.4,0.01,100,200,0.5,20
BEES_PER_GENERATION,BEES_PER_GENERATION,10,stable,16,0.2689999999999999,0.33487161719082736,-127.32705925314913,12.560250000000002,50,10,5,16,20,0.4,0.01,100,200,0.5,20
BEES_PER_GENERATION,BEES_PER_GENERATION,10,high,2,0.386,0.37170418345775985,-422.9938406477071,60.059124999999995,50,10,5,16,20,0.4,0.01,100,200,0.5,20
BEES_PER_GENERATION,BEES_PER_GENERATION,20,stable,16,0.3835,0.20881271513008973,-25.266971926314017,16.946749999999998,100,20,5,16,20,0.4,0.01,100,200,0.5,20
BEES_PER_GENERATION,BEES_PER_GENERATION,20,high,2,0.346,0.2532863991611078,-55.704464955957555,200.52525000000003,100,20,5,16,20,0.4,0.01,100,200,0.5,20
STARTING_BEE_RATIO,STARTING_BEE_RATIO,0.1,stable,16,0.522,0.28864511081949756,-19.557609150097782,24.377875,100,20,5,16,20,0.4,0.01,100,200,0.1,20
STARTING_BEE_RATIO,STARTING_BEE_RATIO,0.1,high,2,0.6635,0.29158660806010966,69.0131108154973,238.51625000000004,100,20,5,16,20,0.4,0.01,100,200,0.1,20
STARTING_BEE_RATIO,STARTING_BEE_RATIO,0.5,stable,16,0.414,0.27603260676956265,-31.595975338996062,12.7645,100,20,5,16,20,0.4,0.01,100,200,0.5,20
STARTING_BEE_RATIO,STARTING_BEE_RATIO,0.5,high,2,0.48650000000000004,0.2498054242805788,-3.3048561358668334,205.34412500000002,100,20,5,16,20,0.4,0.01,100,200,0.5,20
STARTING_BEE_RATIO,STARTING_BEE_RATIO,0.9,stable,16,0.2735,0.15441097758903025,-25.539782672785638,8.159125,100,20,5,16,20,0.4,0.01,100,200,0.9,20
STARTING_BEE_RATIO,STARTING_BEE_RATIO,0.9,high,2,0.32399999999999995,0.31815719385234714,-27.91793607413735,208.49637500000006,100,20,5,16,20,0.4,0.01,100,200,0.9,20
NUMBER_OF_FLOWERS,NUMBER_OF_FLOWERS,8,stable,8,0.492,0.2386755119403748,8.564803907320199,52.704499999999996,100,20,5,8,20,0.4,0.01,100,200,0.5,20
NUMBER_OF_FLOWERS,NUMBER_OF_FLOWERS,8,high,1,0.5845,0.34060938037581995,-79.55326129080045,773.6877499999999,100,20,5,8,20,0.4,0.01,100,200,0.5,20
NUMBER_OF_FLOWERS,NUMBER_OF_FLOWERS,16,stable,16,0.30100000000000005,0.240975102448365,-31.772426206946278,9.458375,100,20,5,16,20,0.4,0.01,100,200,0.5,20
NUMBER_OF_FLOWERS,NUMBER_OF_FLOWERS,16,high,2,0.46999999999999986,0.27999999999999997,-36.31630149435942,201.02212500000002,100,20,5,16,20,0.4,0.01,100,200,0.5,20
NUMBER_OF_FLOWERS,NUMBER_OF_FLOWERS,32,stable,32,0.251,0.15449595463959565,-59.03353835192709,4.3239375,100,20,5,32,20,0.4,0.01,100,200,0.5,20
NUMBER_OF_FLOWERS,NUMBER_OF_FLOWERS,32,high,4,0.5735000000000001,0.27736753595184854,-13.717000603258699,59.2029375,100,20,5,32,20,0.4,0.01,100,200,0.5,20
